Período,"Number Of Orders, %","Number Of Orders","Produtos Vendidos",Desconto,Frete,Imposto,"Shipping Tax",Faturado,Reembolsado,SubTotal,"Total da Venda","Invoiced Cost","Gross Profit","Average Items Ordered","Average Discount","Average Subtotal","Average Shipping","Average Tax","Average Shipping Tax","Average Invoiced"
"24 Apr, 2022",0.2,46,89," -R$181,24","R$570,60","R$0,00","R$0,00","R$18.979,22",,"R$19.981,50","R$18.979,22","R$0,00","R$19.981,50",1.93," -R$3,94","R$434,38","R$12,40","R$0,00","R$0,00","R$412,59"
"25 Apr, 2022",0.2,51,96," -R$236,12","R$500,24","R$0,00","R$0,00","R$18.710,57",,"R$20.346,80","R$18.710,57","R$0,00","R$20.346,80",1.88," -R$4,63","R$398,96","R$9,81","R$0,00","R$0,00","R$366,87"
"26 Apr, 2022",0.3,59,121," -R$215,30","R$720,23","R$0,00","R$0,00","R$26.564,54",,"R$28.269,61","R$26.564,54","R$0,00","R$28.269,61",2.05," -R$3,65","R$479,15","R$12,21","R$0,00","R$0,00","R$450,25"
"27 Apr, 2022",0.3,66,144," -R$738,16","R$657,92","R$0,00","R$0,00","R$30.864,41",,"R$34.433,17","R$30.864,41","R$0,00","R$34.433,17",2.18," -R$11,18","R$521,71","R$9,97","R$0,00","R$0,00","R$467,64"
"28 Apr, 2022",0.3,55,142," -R$392,30","R$742,53","R$0,00","R$0,00","R$28.847,00",,"R$31.973,70","R$28.847,00","R$0,00","R$31.973,70",2.58," -R$7,13","R$581,34","R$13,50","R$0,00","R$0,00","R$524,49"
"29 Apr, 2022",0.3,61,119," -R$285,10","R$554,53","R$0,00","R$0,00","R$28.267,02",,"R$30.515,66","R$28.267,02","R$0,00","R$30.515,66",1.95," -R$4,67","R$500,26","R$9,09","R$0,00","R$0,00","R$463,39"
"30 Apr, 2022",0.2,48,99," -R$272,46","R$476,84","R$0,00","R$0,00","R$21.612,65",,"R$22.495,13","R$21.612,65","R$0,00","R$22.495,13",2.06," -R$5,68","R$468,65","R$9,93","R$0,00","R$0,00","R$450,26"
"01 May, 2022",0.3,55,130," -R$222,68","R$708,33","R$0,00","R$0,00","R$27.253,52",,"R$28.942,20","R$27.253,52","R$0,00","R$28.942,20",2.36," -R$4,05","R$526,22","R$12,88","R$0,00","R$0,00","R$495,52"
"02 May, 2022",0.2,52,94," -R$178,40","R$641,66","R$0,00","R$0,00","R$18.999,68",,"R$22.194,66","R$18.999,68","R$0,00","R$22.194,66",1.81," -R$3,43","R$426,82","R$12,34","R$0,00","R$0,00","R$365,38"
"03 May, 2022",0.3,74,171," -R$630,54","R$1.036,71","R$0,00","R$0,00","R$36.905,76",,"R$39.674,16","R$36.905,76","R$0,00","R$39.674,16",2.31," -R$8,52","R$536,14","R$14,01","R$0,00","R$0,00","R$498,73"
"04 May, 2022",0.3,61,129," -R$365,50","R$707,03","R$0,00","R$0,00","R$28.206,35",,"R$31.394,45","R$28.206,35","R$0,00","R$31.394,45",2.11," -R$5,99","R$514,66","R$11,59","R$0,00","R$0,00","R$462,40"
"05 May, 2022",0.3,63,142," -R$286,66","R$479,90","R$0,00","R$0,00","R$29.820,81",,"R$36.063,30","R$29.820,81","R$0,00","R$36.063,30",2.25," -R$4,55","R$572,43","R$7,62","R$0,00","R$0,00","R$473,35"
"06 May, 2022",0.2,50,102," -R$351,52","R$508,45","R$0,00","R$0,00","R$23.955,21",,"R$25.119,73","R$23.955,21","R$0,00","R$25.119,73",2.04," -R$7,03","R$502,39","R$10,17","R$0,00","R$0,00","R$479,10"
"07 May, 2022",0.2,47,111," -R$128,70","R$491,44","R$0,00","R$0,00","R$23.414,92",,"R$24.478,66","R$23.414,92","R$0,00","R$24.478,66",2.36," -R$2,74","R$520,82","R$10,46","R$0,00","R$0,00","R$498,19"
"08 May, 2022",0.2,37,74," -R$45,15","R$422,38","R$0,00","R$0,00","R$18.199,00",,"R$18.091,96","R$18.199,00","R$0,00","R$18.091,96",2," -R$1,22","R$488,97","R$11,42","R$0,00","R$0,00","R$491,86"
"09 May, 2022",0.2,50,90," -R$308,35","R$655,10","R$0,00","R$0,00","R$19.185,39",,"R$20.933,54","R$19.185,39","R$0,00","R$20.933,54",1.8," -R$6,17","R$418,67","R$13,10","R$0,00","R$0,00","R$383,71"
"10 May, 2022",0.3,65,144," -R$294,32","R$870,67","R$0,00","R$0,00","R$28.572,93",,"R$31.299,16","R$28.572,93","R$0,00","R$31.299,16",2.22," -R$4,53","R$481,53","R$13,39","R$0,00","R$0,00","R$439,58"
"11 May, 2022",0.2,49,96," -R$429,13","R$739,58","R$0,00","R$0,00","R$23.353,38",,"R$25.042,68","R$23.353,38","R$0,00","R$25.042,68",1.96," -R$8,76","R$511,08","R$15,09","R$0,00","R$0,00","R$476,60"
"12 May, 2022",0.3,74,166," -R$601,41","R$671,88","R$0,00","R$0,00","R$35.560,89",,"R$41.464,39","R$35.560,89","R$0,00","R$41.464,39",2.24," -R$8,13","R$560,33","R$9,08","R$0,00","R$0,00","R$480,55"
"13 May, 2022",0.3,67,181," -R$235,94","R$830,63","R$0,00","R$0,00","R$41.743,26",,"R$43.040,01","R$41.743,26","R$0,00","R$43.040,01",2.7," -R$3,52","R$642,39","R$12,40","R$0,00","R$0,00","R$623,03"
"14 May, 2022",0.2,48,94," -R$42,90","R$645,84","R$0,00","R$0,00","R$22.995,29",,"R$25.408,19","R$22.995,29","R$0,00","R$25.408,19",1.96," -R$0,89","R$529,34","R$13,46","R$0,00","R$0,00","R$479,07"
"15 May, 2022",0.2,44,99,"R$0,00","R$468,43","R$0,00","R$0,00","R$23.476,56",,"R$24.452,59","R$23.476,56","R$0,00","R$24.452,59",2.25,"R$0,00","R$555,74","R$10,65","R$0,00","R$0,00","R$533,56"
"16 May, 2022",0.3,69,142," -R$592,82","R$820,66","R$0,00","R$0,00","R$33.551,04",,"R$35.710,77","R$33.551,04","R$0,00","R$35.710,77",2.06," -R$8,59","R$517,55","R$11,89","R$0,00","R$0,00","R$486,25"
"17 May, 2022",0.2,40,93," -R$93,51","R$640,05","R$0,00","R$0,00","R$22.293,28",,"R$22.804,43","R$22.293,28","R$0,00","R$22.804,43",2.33," -R$2,34","R$570,11","R$16,00","R$0,00","R$0,00","R$557,33"
"18 May, 2022",0.3,67,132," -R$430,66","R$682,74","R$0,00","R$0,00","R$37.868,45",,"R$40.266,57","R$37.868,45","R$0,00","R$40.266,57",1.97," -R$6,43","R$600,99","R$10,19","R$0,00","R$0,00","R$565,20"
"19 May, 2022",0.2,50,118," -R$276,66","R$676,37","R$0,00","R$0,00","R$30.915,35",,"R$33.244,98","R$30.915,35","R$0,00","R$33.244,98",2.36," -R$5,53","R$664,90","R$13,53","R$0,00","R$0,00","R$618,31"
"20 May, 2022",0.3,60,133," -R$519,96","R$829,99","R$0,00","R$0,00","R$34.250,87",,"R$36.204,35","R$34.250,87","R$0,00","R$36.204,35",2.22," -R$8,67","R$603,41","R$13,83","R$0,00","R$0,00","R$570,85"
"21 May, 2022",0.2,44,86," -R$308,98","R$632,54","R$0,00","R$0,00","R$18.635,68",,"R$19.956,21","R$18.635,68","R$0,00","R$19.956,21",1.95," -R$7,02","R$453,55","R$14,38","R$0,00","R$0,00","R$423,54"
"22 May, 2022",0.2,33,89," -R$131,31","R$524,38","R$0,00","R$0,00","R$23.397,78",,"R$23.926,85","R$23.397,78","R$0,00","R$23.926,85",2.7," -R$3,98","R$725,06","R$15,89","R$0,00","R$0,00","R$709,02"
"23 May, 2022",0.2,49,92," -R$526,30","R$606,14","R$0,00","R$0,00","R$23.309,42",,"R$25.773,40","R$23.309,42","R$0,00","R$25.773,40",1.88," -R$10,74","R$525,99","R$12,37","R$0,00","R$0,00","R$475,70"
"24 May, 2022",0.2,39,70," -R$110,61","R$391,71","R$0,00","R$0,00","R$13.682,03",,"R$17.646,05","R$13.682,03","R$0,00","R$17.646,05",1.79," -R$2,84","R$452,46","R$10,04","R$0,00","R$0,00","R$350,82"
"25 May, 2022",0.3,58,110," -R$413,54","R$680,44","R$0,00","R$0,00","R$27.740,81",,"R$30.179,85","R$27.740,81","R$0,00","R$30.179,85",1.9," -R$7,13","R$520,34","R$11,73","R$0,00","R$0,00","R$478,29"
"26 May, 2022",0.2,53,108," -R$310,10","R$794,83","R$0,00","R$0,00","R$25.077,75",,"R$28.833,20","R$25.077,75","R$0,00","R$28.833,20",2.04," -R$5,85","R$544,02","R$15,00","R$0,00","R$0,00","R$473,17"
"27 May, 2022",0.2,47,97," -R$89,00","R$417,22","R$0,00","R$0,00","R$23.516,23",,"R$24.726,74","R$23.516,23","R$0,00","R$24.726,74",2.06," -R$1,89","R$526,10","R$8,88","R$0,00","R$0,00","R$500,35"
"28 May, 2022",0.2,38,73," -R$152,40","R$325,47","R$0,00","R$0,00","R$18.355,38",,"R$19.654,14","R$18.355,38","R$0,00","R$19.654,14",1.92," -R$4,01","R$517,21","R$8,57","R$0,00","R$0,00","R$483,04"
"29 May, 2022",0.2,42,104," -R$185,01","R$299,82","R$0,00","R$0,00","R$27.332,60",,"R$28.745,77","R$27.332,60","R$0,00","R$28.745,77",2.48," -R$4,41","R$684,42","R$7,14","R$0,00","R$0,00","R$650,78"
"30 May, 2022",0.2,48,107," -R$463,36","R$665,47","R$0,00","R$0,00","R$26.377,72",,"R$26.421,74","R$26.377,72","R$0,00","R$26.421,74",2.23," -R$9,65","R$550,45","R$13,86","R$0,00","R$0,00","R$549,54"
"31 May, 2022",0.4,80,168," -R$295,50","R$921,94","R$0,00","R$0,00","R$39.946,29",,"R$45.298,94","R$39.946,29","R$0,00","R$45.298,94",2.1," -R$3,69","R$566,24","R$11,52","R$0,00","R$0,00","R$499,33"
"01 Jun, 2022",0.2,50,100," -R$380,80","R$541,55","R$0,00","R$0,00","R$24.633,88",,"R$28.166,89","R$24.633,88","R$0,00","R$28.166,89",2," -R$7,62","R$563,34","R$10,83","R$0,00","R$0,00","R$492,68"
"02 Jun, 2022",0.2,45,82," -R$191,86","R$486,79","R$0,00","R$0,00","R$21.866,10",,"R$23.540,52","R$21.866,10","R$0,00","R$23.540,52",1.82," -R$4,26","R$523,12","R$10,82","R$0,00","R$0,00","R$485,91"
